Product_ID,Product_Name,Category,Supplier,Warehouse,Quantity_Stock,Unit_Price,Purchase_Date,Expiry_Date,Reorder_Level,Sales_Last_Month,Damaged_Items,Status
P1179,Offise Chair,clothing,XYZ Supplies,  Bangalore  ,309,2664.628217,6/13/2023,5/6/2026,40,227,14,Available
P1171,  Jeans  ,Groccery,  Prime Distributors  ,delhi,15330,363.59,10/19/2023,11/11/2026,20,112,15,Available
P1072,Dinig Table,furniture,Quick Supply Co,New Delhi,316,4005.06,11/5/2022,2/6/2021,13,249,5,Available
P1090,Mixer Grinder,  Furnture  ,Prime Distributors,  MUMBAI  ,15330,2664.628217,6/6/2022,9/3/2024,6,222,3,Available
P1055,  Mobile Phone  ,sports,abc traders,KOLKATA,68,972.13,12/15/2022,1/24/2024,16,207,2,Available
P1056,  T-Shirt  ,Furnture,XYZ Supplies,Mumbai Warehouse,15330,3233.47,4/6/2022,3/19/2024,20,95,14,Available
P1159,Mixr Grinder,  Sports  , Global Mart ,mumbai,184,4987.31,1/3/2022,5/6/2026,13,212,13,Available
P1063,Shose,STATIONERY,   Global Mart   ,KOLKATA,277,2624.48,2/11/2022,4/3/2026,8,247,295,Available
P1164,Laptop,Electronics,  Local Suppliers Ltd  ,Bengaluru,128,2664.628217,3/14/2022,2/28/2024,41,56,14,Available
P1086,Shose,Sports,XYZ Supplies,Delhi Warehouse,408,4012.82,12/12/2023,6/19/2025,24,147,11,Available
P1166,  Shose  ,  Sportss  ,ABC Traders,  Mumbai Warehouse  ,200,4700.16,7/28/2023,8/9/2024,12,183,1,Out of Stock
P1109,Backpack,Sports,Reliable Goods,  kolkata  ,27,3753.42,9/11/2023,5/6/2026,30,287,9,Available
P1116,Wrist Wach,Stationary,  Local Suppliers Ltd  ,DELHI,71,3670.39,3/14/2022,10/13/2026,39,187,9,Out of Stock
P1070,Notbook,  CLOTHING  ,Sharma & Co,Delhi,277,2106.45,7/5/2022,5/6/2026,26,167,14,Out of Stock
P1054,Notebook,stationery,   Global Mart   ,KOLKATA,0,2383.74,6/10/2023,5/6/2026,7,90,13,Available
P1026,  Criket Bat  ,ELECTRONICS,Reliable Goods,MUMBAI,118,2664.628217,5/22/2023,6/19/2025,24,247,11,Out of Stock
